Sensor	R1	R2
mutant1269	0.05	0.05
mutant127	0.3094488273735625	0.3870927580236687
mutant1270	0.16359055944749018	0.4
mutant1271	0.29103327899080655	0.3042033523658221
mutant1272	0.39740143325412647	0.23483249118831934
mutant1273	0.23969318690685262	0.4
mutant1274	0.05	0.05
mutant1275	0.2788802104560952	0.35084202513899454
mutant1276	0.28132798294169137	0.37232038634614784
mutant1277	0.05	0.19121431342577322
mutant1278	0.3116377925142757	0.28674750697835794
mutant1279	0.29951159201473754	0.3789973123647016
mutant128	0.06378445336902323	0.06657836091640706
mutant1280	0.06945716757639678	0.06254865434730442
mutant1281	0.3228376722138695	0.3243604954620088
mutant1282	0.20521213501521032	0.2349276328541486
mutant1283	0.37006080662166874	0.2465228393267056
mutant1284		
mutant1285	0.06919963973551843	0.05040818836957898
mutant1286	0.07283296969281156	0.07119315847589228
mutant1287	0.07151021555134707	0.06819855413764199
mutant1288	0.2075943061515787	0.15373611667144466
mutant1289	0.06697847205266723	0.06356840048442257
mutant129	0.06874464831224883	0.06667146341685203
mutant1290	0.07056611255699935	0.2668993056281225
mutant1291	0.05	0.05
mutant1292	0.2713995572778942	0.27817073271070836
mutant1293	0.058699698158441366	0.0565810515906503
mutant1294	0.4	0.2162048470858784
mutant1295	0.3825476935880847	0.23983050847457626
mutant1296	0.06750290985779347	0.055932203389830515
mutant1297	0.4	0.20561976587602032
mutant1298		0.05
mutant1299	0.33002516177568686	0.30192741657153854
mutant13	0.05955238021395261	0.051329982665483845
mutant130	0.05	0.05
mutant1300	0.3803323111215018	0.3529926657758226
mutant1301	0.07150955002753237	0.06791641757456822
mutant1302	0.4	0.4
mutant1303	0.4	0.2645624630439316
mutant1304	0.06097790317134298	0.07139960383041302
mutant1305	0.05145560851262415	0.06248726461947571
mutant1306	0.2914059884205926	0.2617877455226506
mutant1307	0.06245231271185227	0.23645468445127146
mutant1308	0.0684466152106189	0.0689343639731248
mutant1309	0.0686840928421014	0.06509585863489131
mutant131	0.07029697857180395	0.23046299743809198
mutant1310	0.4	0.22506611618115321
mutant1311	0.32712450588746983	0.26202878041364913
mutant1312	0.4	0.4
mutant1313	0.05	0.05
mutant1314	0.19416302753450032	0.2586072190004206
mutant1315	0.06357489341989203	0.0628910960244408
mutant1316	0.06083350249207244	0.06262385267768762
mutant1317	0.34411196566964997	0.3014220766694971
mutant1318	0.06777452753513119	0.06518395990470702
mutant1319	0.058238448699547106	0.15210342878281252
mutant132		0.05
mutant1320	0.376271186440678	0.06516830265292911
mutant1321	0.3209924451573936	0.22355856905237925
mutant1322	0.32908392483448173	0.23567771903778378
mutant1323	0.06437119794132362	0.06836014284188616
mutant1324	0.09044764056654747	0.0709442352467382
mutant1325	0.2180203209334593	0.28206493978413116
mutant1326	0.07071304630584585	0.23258513428662947
mutant1327	0.07023011146799515	
mutant1328	0.277208660577767	0.22850763434237836
mutant1329	0.176631272968493	0.17888918024340641
mutant133	0.37951463286421805	0.22759330400383698
mutant1330	0.28330006733947233	0.376271186440678
mutant1331	0.31421070221223324	0.3590701657960552
mutant1332	0.06690173902030266	0.06727697192208024
mutant1333	0.06690533211176909	0.06797252978635795
mutant1334	0.06578192194774035	0.3820058017022855
mutant1335	0.4	0.2574472394464905
mutant1336	0.0599454425987198	0.06841638390742225
mutant1337	0.4	0.22893660659779252
mutant1338	0.26324885568713263	0.06308115802315879
mutant1339	0.05785215942601836	0.07080410236063857
mutant134	0.3256546011603878	0.21924395052912204
mutant1340	0.24611912948520556	0.24467376875151925
mutant1341	0.2204249329332226	0.26913643079352856
mutant1342	0.05	0.05
mutant1343		0.07380528520437499
mutant1344	0.06746784293661016	0.07090726982562937
mutant1345	0.24976366808539943	0.24973130991584375
mutant1346	0.05	0.05
mutant1347	0.23408851044381185	0.20842267852539267
mutant1348	0.05	0.05
mutant1349	0.3241480068239003	0.3190068707075949
mutant135	0.2580017579915492	0.36996431662897133
mutant1350	0.07116392691090928	0.06750150611011983
mutant1351	0.05	0.05
mutant1352	0.2684014645854844	0.23774581331808708
mutant1353	0.24016848995889495	0.068017494049253
mutant1354	0.332121908689457	0.31327378732541356
mutant1355	0.06957213422353385	0.06920128992898675
mutant1356	0.16788240299921622	0.0632351833971542
mutant1357	0.06628617109039511	0.21516297478320712
mutant1358	0.22816945718034587	0.3261872422283418
mutant1359	0.23939977617346142	0.2596072798097311
